"","sequenceNumber","period","time.minutes","time.seconds","time.additionalMinutes","player.playerId","player.shirtName","player.displayName","player.uniform","team.teamId","team.location","team.abbreviation","team.displayName","touchType.touchTypeId","touchType.name","fieldCoordinates.x","fieldCoordinates.y","endingFieldCoordinates.x","endingFieldCoordinates.y","recipientPlayer.playerId","recipientPlayer.shirtName","recipientPlayer.displayName","recipientPlayer.uniform","failed","suceeded"
"124",1,1,1,0,0,792321,NA,"Kristoffer Olsson","17",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,34,52,37,348309,NA,"Jakob Poulsen","7",0,1
"125",2,1,1,0,0,348309,NA,"Jakob Poulsen","7",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,37,30,48,479101,NA,"Kian Hansen","2",0,2
"136",1,1,1,0,0,721997,NA,"Paul Onuachu","33",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",53,37,52,32,600481,NA,"Rilwan Hassan","36",0,3
"137",2,1,1,0,0,600481,NA,"Rilwan Hassan","36",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,32,74,27,728076,NA,"Patrick Banggaard","26",0,4
"151",1,1,1,0,0,607371,NA,"Martin Pusic","10",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,33,52,35,600481,NA,"Rilwan Hassan","36",0,5
"182",1,1,1,0,0,607371,NA,"Martin Pusic","10",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,34,52,37,718492,NA,"Pione Sisto","27",0,6
"183",2,1,1,0,0,718492,NA,"Pione Sisto","27",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,37,37,39,474150,NA,"Tim Sparv","3",0,7
"195",1,1,1,0,0,607371,NA,"Martin Pusic","10",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,36,52,34,600481,NA,"Rilwan Hassan","36",0,8
"205",1,1,1,0,0,607371,NA,"Martin Pusic","10",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,38,52,34,348309,NA,"Jakob Poulsen","7",0,9
"206",2,1,1,0,0,348309,NA,"Jakob Poulsen","7",10146,"Midtjylland","FCM","Midtjylland",1,"Good Pass",52,34,71,37,474150,NA,"Tim Sparv","3",0,10
