"","type","failCount","suceeded","x","y","lead","time"
"1","Good Pass",0,1,52,34,"N/A",60
"2","Good Pass",0,2,52,37,"N/A",60
"3","Good Pass",0,3,37,39,"N/A",61
"4","Bad Pass",1,3,23,21,"N/A",64
"5","Bad Pass",2,3,30,9,"N/A",68
"6","Good Pass",2,4,37,6,"N/A",81
"7","Good Pass",2,5,30,9,"N/A",85
"8","Good Pass",2,6,73,49,"N/A",110
"9","Good Pass",2,7,71,6,"N/A",116
"10","Good Pass",2,8,64,17,"N/A",118
"11","Good Pass",2,9,66,6,"N/A",119
"12","Good Pass",2,10,44,18,"N/A",124
"13","Good Pass",2,11,60,6,"N/A",126
"14","Bad Pass",3,11,77,14,"N/A",129
"15","Bad Pass",4,11,63,5,"N/A",142
"16","Bad Pass",5,11,71,11,"N/A",223
"17","Good Pass",5,12,79,42,"N/A",230
"18","Bad Pass",6,12,95,64,"N/A",233
"19","Bad Pass",7,12,64,29,"N/A",422
"20","Good Pass",7,13,60,15,"N/A",426
"21","Good Pass",7,14,74,5,"N/A",431
"22","Good Pass",7,15,73,24,"N/A",433
"23","Bad Pass",8,15,84,30,"N/A",434
"24","Good Pass",8,16,63,59,"N/A",441
"25","Good Pass",8,17,37,51,"N/A",447
"26","Bad Pass",9,17,77,50,"N/A",449
"27","Good Pass",9,18,36,52,"N/A",484
"28","Good Pass",9,19,58,39,"N/A",487
"29","Good Pass",9,20,63,7,"N/A",494
"30","Good Pass",9,21,63,22,"N/A",497
"31","Good Pass",9,22,73,45,"N/A",502
"32","Good Pass",9,23,41,62,"N/A",530
"33","Good Pass",9,24,40,51,"N/A",531
"34","Good Pass",9,25,27,37,"N/A",535
"35","Good Pass",9,26,30,15,"N/A",540
"36","Good Pass",9,27,37,28,"N/A",544
"37","Good Pass",9,28,42,6,"N/A",549
"38","Good Pass",9,29,41,19,"N/A",554
"39","Good Pass",9,30,27,24,"N/A",557
"40","Good Pass",9,31,42,10,"N/A",560
"41","Good Pass",9,32,27,17,"N/A",564
"42","Bad Pass",10,32,37,7,"N/A",569
"43","Good Pass",10,33,74,6,"N/A",578
"44","Good Pass",10,34,43,10,"N/A",581
"45","Good Pass",10,35,68,33,"N/A",586
"46","Good Pass",10,36,63,48,"N/A",589
"47","Good Pass",10,37,65,24,"N/A",591
"48","Good Pass",10,38,74,5,"N/A",594
"49","Good Pass",10,39,76,17,"N/A",595
"50","Good Pass",10,40,71,3,"N/A",596
"51","Bad Pass",11,40,11,43,"N/A",672
"52","Good Pass",11,41,27,39,"N/A",723
"53","Bad Pass",12,41,57,21,"N/A",731
"54","Good Pass",12,42,32,8,"N/A",748
"55","Bad Pass",13,42,26,20,"N/A",750
"56","Bad Pass",14,42,10,29,"N/A",787
"57","Good Pass",14,43,19,61,"N/A",829
"58","Bad Pass",15,43,3,47,"N/A",875
"59","Good Pass",15,44,11,45,"N/A",999
"60","Bad Pass",16,44,72,39,"N/A",1045
"61","Bad Pass",17,44,72,34,"N/A",1048
"62","Good Pass",17,45,27,25,"N/A",1078
"63","Good Pass",17,46,31,36,"N/A",1079
"64","Good Pass",17,47,3,36,"N/A",1092
"65","Good Pass",17,48,40,61,"N/A",1155
"66","Good Pass",17,49,29,59,"N/A",1156
"67","Good Pass",17,50,25,31,"N/A",1157
"68","Good Pass",17,51,33,8,"N/A",1161
"69","Good Pass",17,52,25,20,"N/A",1167
"70","Good Pass",17,53,53,39,"N/A",1185
"71","Good Pass",17,54,8,47,"N/A",1224
"72","Good Pass",17,55,17,62,"N/A",1241
"73","Good Pass",17,56,68,43,"N/A",1243
"74","Good Pass",17,57,41,57,"N/A",1259
"75","Good Pass",17,58,43,4,"N/A",1267
"76","Good Pass",17,59,76,18,"N/A",1269
"77","Good Pass",17,60,66,14,"N/A",1271
"78","Good Pass",17,61,72,36,"N/A",1273
"79","Good Pass",17,62,72,54,"N/A",1276
"80","Good Pass",17,63,81,64,"N/A",1278
"81","Good Pass",17,64,70,54,"N/A",1280
"82","Good Pass",17,65,59,15,"N/A",1283
"83","Good Pass",17,66,79,5,"N/A",1287
"84","Bad Pass",18,66,16,65,"N/A",1330
"85","Good Pass",18,67,26,59,"N/A",1337
"86","Good Pass",18,68,26,35,"N/A",1344
"87","Good Pass",18,69,35,8,"N/A",1347
"88","Good Pass",18,70,33,22,"N/A",1351
"89","Good Pass",18,71,47,49,"N/A",1353
"90","Bad Pass",19,71,81,60,"N/A",1358
"91","Good Pass",19,72,10,30,"N/A",1378
"92","Good Pass",19,73,26,52,"N/A",1383
"93","Bad Pass",20,73,32,22,"N/A",1391
"94","Bad Pass",21,73,72,15,"N/A",1403
"95","Good Pass",21,74,79,25,"N/A",1405
"96","Bad Pass",22,74,77,13,"N/A",1407
"97","Good Pass",22,75,71,37,"N/A",1416
"98","Good Pass",22,76,78,46,"N/A",1417
"99","Good Pass",22,77,73,52,"N/A",1418
"100","Good Pass",22,78,58,57,"N/A",1420
"101","Good Pass",22,79,78,64,"N/A",1423
"102","Bad Pass",23,79,39,58,"N/A",1429
"103","Good Pass",23,80,69,61,"N/A",1442
"104","Good Pass",23,81,55,56,"N/A",1442
"105","Good Pass",23,82,29,53,"N/A",1451
"106","Good Pass",23,83,71,8,"N/A",1458
"107","Good Pass",23,84,45,19,"N/A",1461
"108","Good Pass",23,85,64,32,"N/A",1464
"109","Good Pass",23,86,63,57,"N/A",1468
"110","Good Pass",23,87,77,51,"N/A",1469
"111","Good Pass",23,88,85,64,"N/A",1471
"112","Good Pass",23,89,74,52,"N/A",1482
"113","Good Pass",23,90,41,60,"N/A",1485
"114","Good Pass",23,91,60,57,"N/A",1490
"115","Good Pass",23,92,68,42,"N/A",1492
"116","Good Pass",23,93,42,45,"N/A",1515
"117","Good Pass",23,94,60,64,"N/A",1519
"118","Bad Pass",24,94,62,44,"N/A",1520
"119","Bad Pass",25,94,48,50,"N/A",1570
"120","Bad Pass",26,94,35,63,"N/A",1572
"121","Good Pass",26,95,37,45,"N/A",1582
"122","Bad Pass",27,95,25,35,"N/A",1582
"123","Good Pass",27,96,29,18,"N/A",1626
"124","Good Pass",27,97,17,20,"N/A",1646
"125","Good Pass",27,98,26,14,"N/A",1648
"126","Good Pass",27,99,38,6,"N/A",1654
"127","Good Pass",27,100,60,18,"N/A",1655
"128","Good Pass",27,101,35,6,"N/A",1657
"129","Good Pass",27,102,25,19,"N/A",1661
"130","Bad Pass",28,102,42,9,"N/A",1665
"131","Good Pass",28,103,71,50,"N/A",1676
"132","Good Pass",28,104,76,61,"N/A",1681
"133","Good Pass",28,105,68,63,"N/A",1683
"134","Good Pass",28,106,67,49,"N/A",1686
"135","Good Pass",28,107,78,49,"N/A",1689
"136","Bad Pass",29,107,96,62,"N/A",1692
"137","Good Pass",29,108,71,25,"N/A",1699
"138","Good Pass",29,109,98,8,"N/A",1749
"139","Good Pass",29,110,99,30,"N/A",1750
"140","Good Pass",29,111,34,48,"N/A",1791
"141","Bad Pass",30,111,70,31,"N/A",1832
"142","Bad Pass",31,111,59,13,"N/A",1836
"143","Good Pass",31,112,29,21,"N/A",1862
"144","Good Pass",31,113,35,24,"N/A",1863
"145","Good Pass",31,114,76,56,"N/A",1905
"146","Bad Pass",32,114,97,61,"N/A",1908
"147","Good Pass",32,115,104,69,"N/A",1952
"148","Bad Pass",33,115,81,4,"N/A",1963
"149","Good Pass",33,116,83,15,"N/A",2001
"150","Good Pass",33,117,42,28,"N/A",2038
"151","Good Pass",33,118,30,5,"N/A",2051
"152","Good Pass",33,119,42,7,"N/A",2051
"153","Good Pass",33,120,32,21,"N/A",2053
"154","Good Pass",33,121,41,30,"N/A",2055
"155","Good Pass",33,122,51,37,"N/A",2056
"156","Bad Pass",34,122,41,42,"N/A",2057
"157","Bad Pass",35,122,63,34,"N/A",2059
"158","Good Pass",35,123,50,44,"N/A",2165
"159","Good Pass",35,124,78,27,"N/A",2168
"160","Good Pass",35,125,21,23,"N/A",2184
"161","Good Pass",35,126,6,39,"N/A",2187
"162","Good Pass",35,127,40,30,"N/A",2195
"163","Good Pass",35,128,66,19,"N/A",2196
"164","Good Pass",35,129,36,28,"N/A",2197
"165","Good Pass",35,130,40,6,"N/A",2200
"166","Good Pass",35,131,39,23,"N/A",2201
"167","Good Pass",35,132,21,20,"N/A",2204
"168","Bad Pass",36,132,28,48,"N/A",2209
"169","Good Pass",36,133,66,45,"N/A",2236
"170","Bad Pass",37,133,73,55,"N/A",2236
"171","Bad Pass",38,133,76,57,"N/A",2272
"172","Good Pass",38,134,29,42,"N/A",2277
"173","Good Pass",38,135,42,62,"N/A",2280
"174","Bad Pass",39,135,77,46,"N/A",2284
"175","Good Pass",39,136,36,53,"N/A",2298
"176","Good Pass",39,137,56,52,"N/A",2299
"177","Good Pass",39,138,74,46,"N/A",2302
"178","Good Pass",39,139,74,59,"N/A",2307
"179","Bad Pass",40,139,99,51,"N/A",2313
"180","Good Pass",40,140,67,53,"N/A",2359
"181","Bad Pass",41,140,55,62,"N/A",2367
"182","Good Pass",41,141,71,58,"N/A",2376
"183","Good Pass",41,142,66,42,"N/A",2378
"184","Good Pass",41,143,74,7,"N/A",2382
"185","Good Pass",41,144,81,16,"N/A",2389
"186","Good Pass",41,145,74,33,"N/A",2392
"187","Bad Pass",42,145,86,10,"N/A",2399
"188","Bad Pass",43,145,72,56,"N/A",2423
