"","type","failCount","suceeded","x","y","lead","time"
"1","Good Pass",0,1,52,32,"Tied",61
"2","Good Pass",0,2,52,34,"Tied",62
"3","Bad Pass",1,2,31,40,"Tied",65
"4","Good Pass",1,3,66,34,"Tied",71
"5","Good Pass",1,4,77,60,"Tied",72
"6","Good Pass",1,5,79,48,"Tied",76
"7","Good Pass",1,6,72,50,"Tied",79
"8","Good Pass",1,7,60,49,"Tied",81
"9","Good Pass",1,8,70,63,"Tied",84
"10","Good Pass",1,9,31,46,"Tied",88
"11","Bad Pass",2,9,80,33,"Tied",92
"12","Good Pass",2,10,53,25,"Tied",95
"13","Good Pass",2,11,35,7,"Tied",96
"14","Bad Pass",3,11,34,18,"Tied",97
"15","Bad Pass",4,11,66,23,"Tied",119
"16","Good Pass",4,12,68,19,"Tied",254
"17","Good Pass",4,13,59,45,"Tied",257
"18","Good Pass",4,14,73,63,"Tied",260
"19","Good Pass",4,15,71,44,"Tied",263
"20","Bad Pass",5,15,24,60,"Tied",283
"21","Bad Pass",6,15,29,54,"Tied",391
"22","Good Pass",6,16,74,11,"Tied",421
"23","Good Pass",6,17,66,15,"Tied",425
"24","Good Pass",6,18,68,4,"Tied",435
"25","Good Pass",6,19,31,4,"Tied",465
"26","Good Pass",6,20,44,11,"Tied",465
"27","Good Pass",6,21,37,16,"Tied",467
"28","Good Pass",6,22,54,31,"Tied",468
"29","Good Pass",6,23,40,22,"Tied",469
"30","Good Pass",6,24,71,64,"Tied",473
"31","Good Pass",6,25,74,50,"Tied",475
"32","Good Pass",6,26,78,62,"Tied",477
"33","Good Pass",6,27,66,56,"Tied",479
"34","Good Pass",6,28,75,45,"Tied",480
"35","Good Pass",6,29,83,57,"Tied",484
"36","Good Pass",6,30,70,58,"Tied",487
"37","Good Pass",6,31,79,50,"Tied",489
"38","Bad Pass",7,31,36,27,"Tied",501
"39","Good Pass",7,32,59,58,"Tied",556
"40","Bad Pass",8,32,66,36,"Tied",590
"41","Bad Pass",9,32,82,9,"Tied",594
"42","Good Pass",9,33,85,29,"Tied",598
"43","Bad Pass",10,33,36,36,"Tied",614
"44","Bad Pass",11,33,34,34,"Tied",661
"45","Bad Pass",12,33,34,52,"Tied",666
"46","Bad Pass",13,33,55,49,"Tied",668
"47","Bad Pass",14,33,44,32,"Tied",681
"48","Good Pass",14,34,63,25,"Tied",685
"49","Good Pass",14,35,64,34,"Tied",686
"50","Good Pass",14,36,66,24,"Tied",689
"51","Good Pass",14,37,75,19,"Tied",692
"52","Good Pass",14,38,78,25,"Tied",695
"53","Good Pass",14,39,80,56,"Tied",699
"54","Good Pass",14,40,88,62,"Tied",701
"55","Good Pass",14,41,74,51,"Tied",722
"56","Bad Pass",15,41,28,45,"Tied",729
"57","Good Pass",15,42,33,39,"Tied",778
"58","Good Pass",15,43,25,60,"Tied",781
"59","Good Pass",15,44,31,34,"Tied",786
"60","Good Pass",15,45,26,46,"Tied",790
"61","Good Pass",15,46,68,63,"Tied",792
"62","Good Pass",15,47,39,62,"Tied",795
