shot,x,y
Shot on target,3481,130
Shot not on target,4666,-64
Shot on target,3351,-650
Shot not on target,3094,-143
Shot not on target,2518,-611
Shot on target,4150,0
Goal,5250,185
Shot on target,2791,-296
Shot not on target,2672,1870
Shot on target,2763,-154
Shot not on target,4662,326
Shot on target,2286,1009
Shot on target,4246,-1039
Shot not on target,4550,-1246
Shot on target,3123,1236
Shot not on target,2791,-1930
Shot not on target,3117,2048
Shot not on target,2842,863
Shot not on target,4704,812
Shot not on target,2084,-2528
