"axis","value"
"SuccShots",0.535714285714286
"SuccDribbles",0.567796610169492
"SuccPasses",0.775156876086792
"SuccAir",0.507755102040816
"SuccTacles",0.867069486404834
"SuccShots",0.426666666666667
"SuccDribbles",0.468354430379747
"SuccPasses",0.790508474576271
"SuccAir",0.495397489539749
"SuccTacles",0.840944881889764
"SuccShots",0.46875
"SuccDribbles",0.440740740740741
"SuccPasses",0.758384506376949
"SuccAir",0.487242798353909
"SuccTacles",0.821173104434907
"SuccShots",0.366412213740458
"SuccDribbles",0.469648562300319
"SuccPasses",0.809635076627036
"SuccAir",0.567796610169492
"SuccTacles",0.833558863328823
"SuccShots",0.573333333333333
"SuccDribbles",0.482758620689655
"SuccPasses",0.754530059271804
"SuccAir",0.484992101105845
"SuccTacles",0.846283783783784
"SuccShots",0.475409836065574
"SuccDribbles",0.438775510204082
"SuccPasses",0.827428805014307
"SuccAir",0.487179487179487
"SuccTacles",0.858895705521472
"SuccShots",0.51219512195122
"SuccDribbles",0.448484848484848
"SuccPasses",0.683761493980472
"SuccAir",0.490732568402471
"SuccTacles",0.816944024205749
"SuccShots",0.5
"SuccDribbles",0.406542056074766
"SuccPasses",0.8182299245932
"SuccAir",0.551269035532995
"SuccTacles",0.807639836289222
"SuccShots",0.48
"SuccDribbles",0.471502590673575
"SuccPasses",0.782169245782797
"SuccAir",0.484822202948829
"SuccTacles",0.833333333333333
"SuccShots",0.605263157894737
"SuccDribbles",0.345238095238095
"SuccPasses",0.683619102973942
"SuccAir",0.48448145344436
"SuccTacles",0.793103448275862
"SuccShots",0.466666666666667
"SuccDribbles",0.40084388185654
"SuccPasses",0.734114583333333
"SuccAir",0.491394148020654
"SuccTacles",0.795514511873351
"SuccShots",0.481481481481481
"SuccDribbles",0.538181818181818
"SuccPasses",0.818967693084301
"SuccAir",0.457171314741036
"SuccTacles",0.869932432432432
