"Result","axis","value"
"Win","SuccShots",1
"Win","SuccDribbles",0.615384615384615
"Win","SuccPasses",0.785234899328859
"Win","SuccAir",0.5
"Win","SuccTacles",1
"Draw","SuccShots",0
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.803468208092486
"Draw","SuccAir",0.444444444444444
"Draw","SuccTacles",0.724137931034483
"Win","SuccShots",1
"Win","SuccDribbles",0.444444444444444
"Win","SuccPasses",0.826568265682657
"Win","SuccAir",0.333333333333333
"Win","SuccTacles",0.772727272727273
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.853846153846154
"Draw","SuccAir",0.628571428571429
"Draw","SuccTacles",0.625
"Loss","SuccShots",0.4
"Loss","SuccDribbles",0.6875
"Loss","SuccPasses",0.844606946983547
"Loss","SuccAir",0.517241379310345
"Loss","SuccTacles",1
"Draw","SuccShots",1
"Draw","SuccDribbles",0.6
"Draw","SuccPasses",0.77924944812362
"Draw","SuccAir",0.571428571428571
"Draw","SuccTacles",0.941176470588235
"Draw","SuccShots",0
"Draw","SuccDribbles",0.7
"Draw","SuccPasses",0.829470198675497
"Draw","SuccAir",0.653846153846154
"Draw","SuccTacles",0.791666666666667
"Loss","SuccShots",0
"Loss","SuccDribbles",0
"Loss","SuccPasses",0.776096822995461
"Loss","SuccAir",0.404761904761905
"Loss","SuccTacles",0.6875
"Loss","SuccShots",0.5
"Loss","SuccDribbles",0.818181818181818
"Loss","SuccPasses",0.806174957118353
"Loss","SuccAir",0.540540540540541
"Loss","SuccTacles",0.85
"Loss","SuccShots",0
"Loss","SuccDribbles",0.571428571428571
"Loss","SuccPasses",0.840753424657534
"Loss","SuccAir",0.433333333333333
"Loss","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",1
"Loss","SuccPasses",0.707838479809976
"Loss","SuccAir",0.59375
"Loss","SuccTacles",0.863636363636364
"Win","SuccShots",1
"Win","SuccDribbles",0.444444444444444
"Win","SuccPasses",0.758536585365854
"Win","SuccAir",0.4
"Win","SuccTacles",1
"Loss","SuccShots",0.5
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.783524904214559
"Loss","SuccAir",0.578947368421053
"Loss","SuccTacles",1
"Draw","SuccShots",0
"Draw","SuccDribbles",0.583333333333333
"Draw","SuccPasses",0.809248554913295
"Draw","SuccAir",0.543859649122807
"Draw","SuccTacles",0.846153846153846
"Loss","SuccShots",1
"Loss","SuccDribbles",1
"Loss","SuccPasses",0.771653543307087
"Loss","SuccAir",0.339285714285714
"Loss","SuccTacles",1
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0.625
"Draw","SuccPasses",0.833984375
"Draw","SuccAir",0.511111111111111
"Draw","SuccTacles",1
"Loss","SuccShots",0
"Loss","SuccDribbles",0.4375
"Loss","SuccPasses",0.735059760956175
"Loss","SuccAir",0.475
"Loss","SuccTacles",0.814814814814815
"Win","SuccShots",1
"Win","SuccDribbles",0.5625
"Win","SuccPasses",0.686868686868687
"Win","SuccAir",0.368421052631579
"Win","SuccTacles",0.540540540540541
"Draw","SuccShots",1
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.736363636363636
"Draw","SuccAir",0.520833333333333
"Draw","SuccTacles",0.8125
"Draw","SuccShots",0
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.77431906614786
"Draw","SuccAir",0.42
"Draw","SuccTacles",1
"Loss","SuccShots",1
"Loss","SuccDribbles",0.4
"Loss","SuccPasses",0.731225296442688
"Loss","SuccAir",0.546666666666667
"Loss","SuccTacles",0.727272727272727
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.72488038277512
"Draw","SuccAir",0.519230769230769
"Draw","SuccTacles",1
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.5
"Draw","SuccPasses",0.703225806451613
"Draw","SuccAir",0.632352941176471
"Draw","SuccTacles",0.681818181818182
"Draw","SuccShots",1
"Draw","SuccDribbles",1
"Draw","SuccPasses",0.731034482758621
"Draw","SuccAir",0.436619718309859
"Draw","SuccTacles",0.84
"Loss","SuccShots",0
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.693045563549161
"Loss","SuccAir",0.613636363636364
"Loss","SuccTacles",0.945945945945946
"Loss","SuccShots",1
"Loss","SuccDribbles",0.769230769230769
"Loss","SuccPasses",0.694915254237288
"Loss","SuccAir",0.508196721311475
"Loss","SuccTacles",1
"Loss","SuccShots",0.5
"Loss","SuccDribbles",0.5
